Ticker,Group,EPS Type,Year,Q2 2024,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev
LRCX,Watchlist,GAAP,CY2027,4.98,4.96,-0.5%,4.88,-1.6%,4.71,-3.3%,4.7,-0.4%,5.01,+6.6%,5.66,+13.1%,6.98,+23.3%,218.44,31.3,+48.1%
LRCX,Watchlist,GAAP,CY2028,5.26,5.18,-1.5%,5.78,+11.6%,5.5,-4.9%,5.24,-4.6%,5.77,+10.2%,6.29,+8.9%,7.79,+24.0%,218.44,28.0,+41.8%
DASH,Watchlist,Adj,CY2025,4.04,3.52,-12.9%,4.16,+18.4%,4.42,+6.2%,4.13,-6.6%,4.28,+3.7%,5.08,+18.6%,5.08,+0.1%,156.45,30.8,+14.9%
DASH,Watchlist,Adj,CY2026,5.88,5.19,-11.7%,5.64,+8.7%,5.82,+3.1%,5.56,-4.4%,5.91,+6.3%,5.77,-2.4%,5.5,-4.7%,156.45,28.5,-5.4%
DASH,Watchlist,Adj,CY2027,3.11,3.76,+20.9%,4.86,+29.1%,6.51,+34.1%,6.36,-2.4%,7.52,+18.3%,7.49,-0.5%,7.31,-2.4%,156.45,21.4,+12.2%
DASH,Watchlist,Adj,CY2028,3.71,3.71,+0.0%,4.69,+26.2%,6.56,+39.9%,7.96,+21.3%,8.91,+12.0%,9.48,+6.4%,8.32,-12.2%,156.45,18.8,+26.9%
UBER,Watchlist,Adj,CY2025,2.48,2.62,+5.4%,2.92,+11.4%,2.76,-5.4%,3.63,+31.4%,3.58,-1.2%,6.51,+81.7%,2.49,-61.8%,71.84,28.9,-9.8%
UBER,Watchlist,Adj,CY2026,3.59,3.48,-3.1%,3.89,+11.9%,3.84,-1.2%,4.08,+6.2%,4.23,+3.6%,4.08,-3.5%,3.4,-16.6%,71.84,21.1,-11.5%
UBER,Watchlist,Adj,CY2027,4.66,4.44,-4.7%,4.42,-0.5%,4.87,+10.2%,4.93,+1.3%,4.92,-0.2%,4.9,-0.4%,4.39,-10.3%,71.84,16.3,-9.7%
UBER,Watchlist,Adj,CY2028,5.02,5.12,+1.9%,5.24,+2.4%,5.73,+9.3%,5.56,-2.9%,5.7,+2.5%,6.03,+5.8%,5.56,-7.8%,71.84,12.9,-2.9%
LLY,Watchlist,GAAP,CY2025,18.78,22.73,+21.0%,22.77,+0.2%,22.93,+0.7%,21.37,-6.8%,22.34,+4.6%,23.04,+3.1%,22.81,-1.0%,935.58,41.0,-0.5%
LLY,Watchlist,GAAP,CY2026,24.69,29.92,+21.2%,28.33,-5.3%,28.81,+1.7%,29.16,+1.2%,29.76,+2.1%,32.35,+8.7%,34.11,+5.5%,935.58,27.4,+18.4%
LLY,Watchlist,GAAP,CY2027,31.75,36.38,+14.6%,34.06,-6.4%,34.55,+1.4%,35.25,+2.0%,35.82,+1.6%,39.67,+10.7%,40.62,+2.4%,935.58,23.0,+17.6%
LLY,Watchlist,GAAP,CY2028,37.89,42.95,+13.4%,39.94,-7.0%,40.59,+1.6%,42.17,+3.9%,41.77,-0.9%,46.88,+12.2%,47.51,+1.3%,935.58,19.7,+17.0%
MSFT,Watchlist,GAAP,CY2025,13.32,13.2,-0.9%,13.07,-1.0%,13.13,+0.5%,13.39,+2.0%,13.4,+0.1%,,,,,373.46,27.9,+1.5%
MSFT,Watchlist,GAAP,CY2026,15.68,15.31,-2.3%,15.16,-1.0%,15.02,-0.9%,15.19,+1.1%,15.62,+2.9%,15.96,+2.2%,16.91,+6.0%,373.46,22.1,+12.6%
MSFT,Watchlist,GAAP,CY2027,18.29,18.1,-1.0%,17.7,-2.2%,17.42,-1.6%,17.75,+1.9%,18.3,+3.1%,18.74,+2.4%,19.01,+1.4%,373.46,19.6,+9.1%
MSFT,Watchlist,GAAP,CY2028,20.52,20.23,-1.4%,20.13,-0.5%,19.94,-0.9%,21.16,+6.1%,21.32,+0.8%,22.12,+3.7%,22.37,+1.1%,373.46,16.7,+12.2%
V,Watchlist,GAAP,CY2025,11.15,11.01,-1.3%,11.1,+0.8%,11.11,+0.1%,10.81,-2.6%,10.73,-0.8%,10.72,-0.0%,,,300.8,28.1,-3.4%
V,Watchlist,GAAP,CY2026,12.64,12.47,-1.4%,12.54,+0.6%,12.69,+1.2%,12.67,-0.1%,12.75,+0.6%,12.69,-0.4%,12.65,-0.3%,300.8,23.8,-0.3%
V,Watchlist,GAAP,CY2027,14.24,14.07,-1.2%,14.18,+0.8%,14.35,+1.2%,14.3,-0.3%,14.42,+0.8%,14.37,-0.3%,14.47,+0.7%,300.8,20.8,+0.8%
V,Watchlist,GAAP,CY2028,16.29,16.03,-1.6%,15.59,-2.8%,16.13,+3.4%,16.02,-0.6%,16.28,+1.6%,16.22,-0.4%,16.34,+0.7%,300.8,18.4,+1.3%
